Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1964","1964","t","191390","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1964","1964","t","225312","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1965","1965","t","211827","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1965","1965","t","268526","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1966","1966","t","209573","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1966","1966","t","271793","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1967","1967","t","208271","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1967","1967","t","303193","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1968","1968","t","218256","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1968","1968","t","339032","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1969","1969","t","220813","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1969","1969","t","349993","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1970","1970","t","238125","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1970","1970","t","415611","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5610","Import quantity","21121","Meat of chickens, fresh or chilled","1971","1971","t","253099","A","Official figure",""
"TCL","Crops and livestock products","097","European Union (27)","5910","Export quantity","21121","Meat of chickens, fresh or chilled","1971","1971","t","486954","A","Official figure",""
